Job esco,Skill esco,Secteur1,Secteur2,Secteur3,Secteur4,Secteur5
sound mastering engineer,"adapt to artists' creative demands
assess sound quality
convert different audiovisual formats
coordinate audio system programmes
edit recorded sound
manage sound quality
operate audio-signal processors",Technicians and associate professionals,Information and communications technicians,Telecommunications and broadcasting technicians,Broadcasting and audiovisual technicians,audio-visual technician
ship captain,,Technicians and associate professionals,Science and engineering associate professionals,Ship and aircraft controllers and technicians,Ships' deck officers and pilots,ship captain
copy editor,"apply grammar and spelling rules
consult with editor
follow a brief
follow work schedule
suggest revision of manuscripts
track changes in text editing
use dictionaries",Professionals,"Legal, social and cultural professionals","Authors, journalists and linguists",Journalists,journalist
financial markets back office administrator,"handle financial transactions
handle paperwork
maintain records of financial transactions
manage administrative systems
manage contracts
perform clerical duties",Clerical support workers,Numerical and material recording clerks,Numerical clerks,"Statistical, finance and insurance clerks",back office specialist
clothing alteration machinist,"alter wearing apparel
analyse supply chain strategies
coordinate manufacturing production activities
create patterns for garments
cut fabrics
distinguish accessories
distinguish fabrics
evaluate garment quality
grade patterns for wearing apparel
inspect wearing apparel products
iron textiles
manufacture wearing apparel products
operate garment manufacturing machines
prepare production prototypes
sew pieces of fabric
sew textile-based articles
use textile technique for hand-made products",Plant and machine operators and assemblers,Stationary plant and machine operators,"Textile, fur and leather products machine operators",Sewing machine operators,sewing machine operator
remote sensing technician,"collect data using GPS
collect real-time geolocation information
execute analytical mathematical calculations
interpret visual literacy
keep task records
log transmitter readings
study aerial photos
study radar images
use geographic information systems",Technicians and associate professionals,Science and engineering associate professionals,Physical and engineering science technicians,Chemical and physical science technicians,remote sensing technician
primary school head teacher,"analyse staff capacity
apply for government funding
assess students
assist in the organisation of school events
cooperate with education professionals
develop organisational policies
guarantee students' safety
liaise with educational staff
liaise with educational support staff
liaise with shareholders
manage enrolment
manage school budget
manage staff
monitor educational developments
present reports
represent the organisation
supervise educational staff
write work-related reports",Managers,Production and specialised services managers,Professional services managers,Education managers,headteacher
bindery operator,"adjust cut sizes
ensure equipment availability
follow production schedule
follow safety precautions in printing
inspect binding work
monitor automated machines
observe machine feed
operate binder machine
perform test run
set up machine controls
supply machine
troubleshoot
work safely with machines",Craft and related trades workers,Handicraft and printing workers,Printing trades workers,Print finishing and binding workers,bindery operator
wastewater treatment operator,"carry out waste water treatment
collect samples
dispose of sewage sludge
document analysis results
interpret scientific data to assess water quality
maintain water treatment equipment
measure water quality parameters
monitor water quality
operate water purifying equipment
perform water chemistry analysis
perform water treatment procedures
perform water treatments
use water disinfection equipment",Technicians and associate professionals,Science and engineering associate professionals,Process control technicians,Incinerator and water treatment plant operators,wastewater treatment operator
clothing cutter,"bundle fabrics
coordinate manufacturing production activities
create patterns for garments
cut fabrics
distinguish accessories
distinguish fabrics
operate computerised control systems
prepare production prototypes",Craft and related trades workers,"Food processing, wood working, garment and other craft and related trades workers",Garment and related trades workers,Garment and related pattern-makers and cutters,clothing cutter
chemical metallurgist,"apply health and safety standards
assess suitability of metal types for specific application
conduct metallurgical structural analysis
develop new installations
ensure compliance with environmental legislation
join metals
manipulate metal
monitor manufacturing quality standards
perform sample testing
prepare samples for testing
prepare scientific reports
work in metal manufacture teams",Professionals,Science and engineering professionals,Engineering professionals (excluding electrotechnology),"Mining engineers, metallurgists and related professionals",metallurgist
sewerage maintenance technician,"assemble manufactured pipeline parts
detect flaws in pipeline infrastructure
examine civil structures
follow health and safety procedures in construction
inspect pipelines
inspect sewers
maintain records of maintenance interventions
maintain septic tanks
maintain test equipment
prevent damage to utility infrastructure
prevent pipeline deterioration
recognise signs of corrosion
record test data
repair pipelines
secure working area
supervise sewerage systems construction
test sensors
use pipeline video equipment
use testing equipment",Technicians and associate professionals,Science and engineering associate professionals,Physical and engineering science technicians,Civil engineering technicians,civil engineering technician
paper engineer,"check paper quality
check quality of raw materials
ensure compliance with safety legislation
monitor production developments
monitor pulp quality
optimise production
perform scientific research
plan engineering activities
test paper production samples",Professionals,Science and engineering professionals,Engineering professionals (excluding electrotechnology),Chemical engineers,chemical engineer
filament winding operator,"consult technical resources
control temperature
cure composite workpiece
monitor gauge
monitor processing environment conditions
optimise production processes parameters
prepare resin bath
remove filament composite workpiece from mandrel
set up the controller of a machine
troubleshoot
use personal protection equipment",Plant and machine operators and assemblers,Stationary plant and machine operators,"Rubber, plastic and paper products machine operators",Plastic products machine operators,filament winding operator
exploration geologist,"address problems critically
advise on geology for mineral extraction
apply strategic thinking
build business relationships
communicate on minerals issues
communicate on the environmental impact of mining
complete initial resource statements
conduct environmental site assessments
determine characteristics of mineral deposits
evaluate mineral resources
examine geochemical samples
interface with anti-mining lobbyists
interpret geophysical data
model mineral deposits
negotiate land access
negotiate land acquisition
use earth sciences tools",Professionals,Science and engineering professionals,Physical and earth science professionals,Geologists and geophysicists,geologist
physical education vocational teacher,"adapt training to labour market
apply intercultural teaching strategies
apply teaching strategies
assess students
assign homework
assist students in their learning
assist students with equipment
correct potentially harmful movements
develop course outline
facilitate teamwork between students
give constructive feedback
guarantee students' safety
instruct in sport
maintain students' discipline
manage student relationships
motivate in sports
personalise sports programme
prepare lesson content
work in vocational school",Professionals,Teaching professionals,Vocational education teachers,Vocational education teachers,vocational teacher
archivist,"aid archive users with their enquiries
appraise historical documents
contextualise records collection
create semantic trees
facilitate access to information
manage archive users guidelines
manage digital archives
perform records management
respect data protection principles
store archival documents
study a collection
write scientific publications",Professionals,"Legal, social and cultural professionals","Librarians, archivists and curators",Archivists and curators,archivist
occupational analyst,"advise on efficiency improvements
advise on personnel management
carry out job analysis
design job analysis tools
develop occupational classification systems
present reports
report analysis results
write job descriptions
write work-related reports",Professionals,Business and administration professionals,Administration professionals,Personnel and careers professionals,occupational analyst
metal rolling mill operator,"ensure correct metal temperature
ensure equipment availability
monitor automated machines
monitor gauge
monitor moving workpiece in a machine
perform test run
remove inadequate workpieces
remove processed workpiece
set up the controller of a machine
supply machine
supply machine with appropriate tools
troubleshoot
wear appropriate protective gear",Plant and machine operators and assemblers,Stationary plant and machine operators,Metal processing and finishing plant operators,Metal processing plant operators,metal rolling mill operator
private chef,"communicate with customers
comply with food safety and hygiene
cook dairy products
cook fish
cook meat dishes
cook pastry products
cook sauce products
cook seafood
cook vegetable products
execute chilling processes to food products
handle kitchen equipment
prepare bakery products
prepare desserts
satisfy customers
store kitchen supplies
store raw food materials
use cooking techniques
use food cutting tools
use food preparation techniques
use reheating techniques
use resource-efficient technologies in hospitality",Technicians and associate professionals,"Legal, social, cultural and related associate professionals","Artistic, cultural and culinary associate professionals",Chefs,chef
contact centre supervisor,"analyse staff capacity
create solutions to problems
fix meetings
follow company standards
forecast workload
liaise with managers
manage staff
motivate employees
perform data analysis
perform project management
present reports
supervise work
train employees",Technicians and associate professionals,Business and administration associate professionals,Administrative and specialised secretaries,Office supervisors,contact centre supervisor
aquaculture hatchery manager,"apply company policies
assess environmental impact in aquaculture operations
assess feeding behaviour of larvae
control aquatic production environment
deliver aquatic products to customer specifications
develop aquaculture hatchery business plan
develop management plans to reduce risks in aquaculture
enforce sanitation procedures
ensure aquaculture personnel health and safety
induce spawning and fertilisation on aquaculture species
inspect aquaculture equipment
maintain the production of juveniles at the nursery stage
make time-critical decisions
manage aquatic resources stock production
manage capture broodstock operations
organise labour
plan aquatic resources feeding regimes
provide on-site training in aquaculture facilities
schedule hatchery supplies
supervise aquaculture facilities
treat fish diseases
write work-related reports","Skilled agricultural, forestry and fishery workers","Market-oriented skilled forestry, fishery and hunting workers","Fishery workers, hunters and trappers",Aquaculture workers,aquaculture hatchery manager
vessel steering instructor,"adapt teaching to student's capabilities
apply teaching strategies
assist students in their learning
encourage students to acknowledge their achievements
give constructive feedback
guarantee students' safety
inspect vessel
interpret traffic signals
monitor developments in field of expertise
show consideration for student's situation",Service and sales workers,Personal service workers,Other personal services workers,Driving instructors,vessel steering instructor
land-based machinery supervisor,"advise client on technical possibilities
evaluate employees work
monitor work site
organise labour
programme work according to incoming orders
supervise equipment
supervise staff",Plant and machine operators and assemblers,Drivers and mobile plant operators,Mobile plant operators,Mobile farm and forestry plant operators,land-based machinery supervisor
aviation communications and frequency coordination manager,"apply frequency management
apply technical communication skills
communicate in air traffic services
coordinate technical standards for global interoperability
develop data link services for navigation purposes
follow airport safety procedures
have computer literacy
manage data
manage flight data communications programme
monitor communication channels' performance
operate radio equipment
use different communication channels
work in an aviation team
write work-related reports",Managers,Production and specialised services managers,Professional services managers,Professional services managers not elsewhere classified,aviation communications and frequency coordination manager
commissioning technician,"analyse test data
check system parameters against reference values
collaborate with engineers
conduct quality control analysis
ensure compliance with environmental legislation
ensure conformity to specifications
ensure fulfilment of legal requirements
present reports
read standard blueprints
record test data
repair electronic components
test performance of power plants
troubleshoot
use measurement instruments
use tools for construction and repair
write work-related reports",Technicians and associate professionals,Science and engineering associate professionals,Physical and engineering science technicians,Physical and engineering science technicians not elsewhere classified,commissioning technician
maritime pilot,"analyse weather forecast
anchor ships to the port
assist in maritime rescue operations
assist water-based navigation
balance transportation cargo
carry out ship-to-shore operations
conduct water navigation
coordinate dock operations
ensure compliance with port regulations
guide ships into docks
maintain ship logs
monitor aviation meteorology
plan pilotage
regulate the speed of ships in ports
steer vessels in ports
use rigging tools
use water navigation devices",Technicians and associate professionals,Science and engineering associate professionals,Ship and aircraft controllers and technicians,Ships' deck officers and pilots,maritime pilot
telecommunications equipment specialised seller,"apply numeracy skills
carry out active selling
carry out order intake
carry out products preparation
demonstrate products' features
ensure compliance with legal requirements
estimate costs of installing telecommunication devices
examine merchandise
guarantee customer satisfaction
identify customer's needs
issue sales invoices
maintain store cleanliness
monitor stock level
operate cash register
organise product display
organise storage facilities
plan aftersales arrangements
prevent shoplifting
process refunds
provide customer follow-up services
provide customer guidance on product selection
recommend telecommunication equipment to customers
sell telecommunication products
stock shelves
use different communication channels",Service and sales workers,Sales workers,Shop salespersons,Shop sales assistants,specialised seller
waste management officer,"advise on waste management procedures
apply organisational techniques
coordinate waste management procedures
develop recycling programs
ensure compliance with environmental legislation
ensure compliance with waste legislative regulations
establish waste collection routes
follow standards for machinery safety
maintain recycling records
manage recycling program budget
manage staff",Managers,Production and specialised services managers,"Manufacturing, mining, construction, and distribution managers",Manufacturing managers,manufacturing manager
hydrologist,"apply for research funding
apply research ethics and scientific integrity principles in research activities
apply scientific methods
apply statistical analysis techniques
communicate with a non-scientific audience
conduct research across disciplines
demonstrate disciplinary expertise
develop environmental policy
develop professional network with researchers and scientists
develop water purification methods
disseminate results to the scientific community
draft scientific or academic papers and technical documentation
ensure compliance with environmental legislation
evaluate research activities
increase the impact of science on policy and society
integrate gender dimension in research
interact professionally in research and professional environments
manage findable accessible interoperable and reusable data
manage intellectual property rights
manage land resources permits
manage open publications
manage personal professional development
manage research data
mentor individuals
operate open source software
operate scientific measuring equipment
perform project management
perform scientific research
promote open innovation in research
promote the participation of citizens in scientific and research activities
promote the transfer of knowledge
publish academic research
speak different languages
synthesise information
think abstractly
write scientific publications",Professionals,Science and engineering professionals,Physical and earth science professionals,Geologists and geophysicists,geologist
terrazzo setter,"apply proofing membranes
blast surface
follow health and safety procedures in construction
grind terrazzo
grout terrazzo
inspect construction supplies
mix terrazzo material
pour terrazzo
prepare floor for terrazzo
prevent premature drying
screed concrete
transport construction supplies
use measurement instruments
work ergonomically
work safely with chemicals",Craft and related trades workers,"Building and related trades workers, excluding electricians",Building frame and related trades workers,"Concrete placers, concrete finishers and related workers",terrazzo setter
screw machine operator,"dispose of cutting waste material
ensure equipment availability
monitor automated machines
monitor moving workpiece in a machine
perform test run
remove inadequate workpieces
remove processed workpiece
set up the controller of a machine
supply machine
supply machine with appropriate tools
tend screw machine
troubleshoot",Craft and related trades workers,"Metal, machinery and related trades workers","Blacksmiths, toolmakers and related trades workers",Metal working machine tool setters and operators,screw machine operator
tour operator manager,"build a network of  suppliers in tourism
build business relationships
comply with food safety and hygiene
develop revenue generation strategies
develop strategies for accessibility
develop tourism products
handle personal identifiable information
maintain customer service
manage budgets
manage contracts
manage distribution channels
manage staff
manage visitor flows in natural protected areas
maximise sales revenues
measure customer feedback
negotiate tourism rates
oversee quality control
oversee the design of touristic publications
oversee the printing of touristic publications
perform market research
plan marketing strategy
plan medium to long term objectives
prepare travel packages
provide customised products
recruit employees
select optimal distribution channel
set up pricing strategies
translate strategy into operation",Managers,"Hospitality, retail and other services managers",Other services managers,Services managers not elsewhere classified,tour operator manager
wholesale merchant in dairy products and edible oils,"assess supplier risks
build business relationships
comprehend financial business terminology
have computer literacy
identify customer's needs
identify new business opportunities
identify suppliers
initiate contact with buyers
initiate contact with sellers
maintain financial records
monitor international market performance
negotiate buying conditions
negotiate sale of commodities
negotiate sales contracts
perform market research
plan transport operations",Technicians and associate professionals,Business and administration associate professionals,Sales and purchasing agents and brokers,Trade brokers,wholesale merchant
vehicle electronics installer,"apply health and safety standards
ensure compliance with warranty contracts
install automotive electrical equipment
install car electronics
maintain audiovisual equipment
operate audio equipment
perform technical tasks with great care
use specialised tools in electric repairs",Craft and related trades workers,Electrical and electronic trades workers,Electronics and telecommunications installers and repairers,Electronics mechanics and servicers,vehicle electronics installer
tour operator representative,"apply foreign languages in tourism
assist clients with special needs
build a network of  suppliers in tourism
collect tourist information
communicate with customers
create solutions to problems
develop inclusive communication material
devise special promotions
educate on sustainable tourism
engage local communities in the management of natural protected areas
handle customer complaints
handle personal identifiable information
maintain customer service
make logistical arrangements
manage conservation of natural and cultural heritage
manage health and safety standards
manage visitor flows in natural protected areas
measure customer feedback
process booking
process payments
provide customised products
provide performance feedback
support community-based tourism
support local tourism
upsell products
work in a hospitality team",Clerical support workers,Customer services clerks,Client information workers,Travel consultants and clerks,tour operator representative
environmental programme coordinator,"adapt to change
adopt ways to reduce negative impact of consumption
analyse big data
analyse energy consumption
analyse environmental data
assess environmental impact
carry out environmental audits
conduct environmental surveys
develop environmental policy
ensure compliance with environmental legislation
environmental design
implement environmental action plans
implement environmental protection measures
interact through digital technologies
mitigate waste of resources
monitor nature conservation
perform environmental investigations
promote environmental awareness
provide training in sustainable tourism development and management
report on environmental issues",Professionals,Science and engineering professionals,Life science professionals,Environmental protection professionals,environmental programme coordinator
travel agency manager,"apply strategic thinking
build a network of  suppliers in tourism
comply with food safety and hygiene
conduct search engine optimisation
coordinate operational activities
create annual marketing budget
engage local communities in the management of natural protected areas
handle customer complaints
identify customer's needs
implement marketing strategies
implement sales strategies
implement strategic planning
maintain relationship with suppliers
manage budgets
manage conservation of natural and cultural heritage
manage staff
manage visitor flows in natural protected areas
maximise sales revenues
measure customer feedback
monitor financial accounts
motivate staff to reach sales targets
negotiate supplier arrangements
oversee all travel arrangements
perform market research
plan digital marketing
prepare travel packages
recruit employees
seek innovation in current practices
set up pricing strategies
supervise crew
support community-based tourism
support local tourism
use e-tourism platforms
use global distribution system",Managers,"Hospitality, retail and other services managers",Other services managers,Services managers not elsewhere classified,travel agency manager
emergency medical dispatcher,"adhere to organisational guidelines
answer emergency calls
communicate verbal instructions
comply with legislation related to health care
comply with quality standards related to healthcare practice
dispatch ambulance
listen actively
log emergency call information electronically
manage dispatch software systems
manage multiple patients simultaneously
operate an emergency communication system
personnel planning in emergency response
prioritise emergencies
provide advice to emergency callers
support distressed emergency callers
tolerate stress
work in multidisciplinary teams related to emergency care",Clerical support workers,Customer services clerks,Client information workers,Telephone switchboard operators,telephone switchboard operator
security alarm investigator,"apply safety management
keep task records
liaise with security authorities
manage alarm system
monitor surveillance equipment
operate radio equipment
read technical datasheet
respond to burglar alarm systems",Service and sales workers,Protective services workers,Protective services workers,Security guards,security guard
event electrician,"assemble performance equipment
ensure safety of mobile electrical systems
organise resources for artistic production
store performance equipment
use personal protection equipment
use technical documentation
work ergonomically
work with respect for own safety",Craft and related trades workers,Electrical and electronic trades workers,Electrical equipment installers and repairers,Building and related electricians,electrician
chiropractor,"accept own accountability
address public health issues
adhere to health well-being and safety
adhere to organisational code of ethics
adhere to organisational guidelines
advise on healthcare users' informed consent
advise on healthy lifestyles
advise on pregnancy
advise on rehabilitation exercises
advocate health
apply business acumen
apply caseload management
apply context specific clinical competences
apply massage therapy
apply organisational techniques
apply person-centred care
apply specific manual chiropractic techniques
apply supports for spinal adjustment
assess chiropractic intervention
assess referred healthcare users
assist patients with rehabilitation
collect healthcare user's general data
communicate in healthcare
comply with legislation related to health care
comply with quality standards related to healthcare practice
conduct chiropractic examination
conduct neurological examination
conduct physical examinations
contribute to continuity of health care
contribute to quality physiotherapy services
contribute to the rehabilitation process
create solutions to problems
deal with emergency care situations
develop a collaborative therapeutic relationship
develop chiropractic treatment plans
develop plans related to client discharge
develop plans related to the transfer of care
develop therapeutic relationships
diagnose musculoskeletal conditions
educate on preventing injuries
educate on the prevention of illness
empathise with the healthcare user
ensure safety of healthcare users
follow clinical guidelines
follow-up after patients' surgery
formulate a treatment plan
inform policy makers on health-related challenges
interact with healthcare users
interpret findings from medical examinations
interpret medical images
interpret medical results
listen actively
maintain chiropractic equipment
maintain treatment records
manage acute pain
manage chiropractic professional equipment
manage chiropractic staff
manage clinical risk
manage healthcare users' data
manage infection control in the facility
manage staff
measure effectiveness of the service provided
monitor patients' progress related to treatment
observe record keeping standards in chiropractics
operate medical imaging equipment
perform chiropractic examinations
perform clinical neurophysiological examinations
perform orthopaedic examinations
post-process medical images
prepare patients for surgery
prescribe healthcare products
prescribe treatment for musculoskeletal injuries
prescribe treatments related to surgical procedures
promote health and safety policies in health services
promote health in specialised care
promote inclusion
provide chiropractic diagnosis
provide health education
provide information on chiropractic treatment outcomes
provide learning support in healthcare
provide medication information
provide neuromusculoskeletal therapy
provide stabilisation care in emergency
provide treatment strategies for challenges to human health
record healthcare users' progress related to treatment
refer healthcare users
respond to changing situations in health care
supervise chiropractic students
triage clients
undertake clinical chiropractic research
undertake healthcare examination
use different communication channels
use e-health and mobile health technologies
use techniques to increase patients' motivation
work in a multicultural environment in health care
work in multidisciplinary health teams
write reports on neurological tests",Professionals,Health professionals,Other health professionals,Health professionals not elsewhere classified,chiropractor
career guidance advisor,"advise on training courses
apply quality standards to the interaction with candidates 
assess candidates
assist clients with personal development
coach clients
counsel clients
encourage counselled clients to examine themselves
evaluate clients' progress
facilitate job market access
have emotional intelligence
identify clients' needs
listen actively
maintain professional administration
monitor educational developments
provide assistance with job search
provide career counselling
provide information on education financing
provide information on study programmes
work with different target groups",Professionals,Business and administration professionals,Administration professionals,Personnel and careers professionals,career guidance advisor
psychotherapist,"accept own accountability
adhere to organisational guidelines
advise on healthcare users' informed consent
apply context specific clinical competences
communicate in healthcare
comply with legislation related to health care
comply with quality standards related to healthcare practice
conceptualise healthcare user’s needs
conclude the psychotherapeutic relationship
conduct psychotherapy risk assessments
contribute to continuity of health care
counsel clients
decide upon a psychotherapeutic approach
develop a collaborative therapeutic relationship
diagnose psychiatric symptoms
discuss the end point of therapeutic intervention
empathise with the healthcare user
encourage healthcare user's self-monitoring
ensure safety of healthcare users
evaluate practice in psychotherapy
follow clinical guidelines
formulate a case conceptualisation model for therapy
handle patient trauma
identify mental health issues
interact with healthcare users
keep up with current trends in psychotherapy
listen actively
maintain personal development in psychotherapy
manage healthcare users' data
manage personal professional development
manage psychotherapeutic relationships
monitor therapeutic progress
organise relapse prevention
perform therapy sessions
prescribe psychotherapeutic treatment
promote mental health
promote psycho-social education
provide a psychotherapeutic environment
provide treatment strategies for challenges to human health
record the outcome of psychotherapy
respond to changing situations in health care
respond to healthcare users' extreme emotions
support patients to understand their conditions
use clinical assessment techniques
use e-health and mobile health technologies
use psychoeducation
use psychotherapeutic interventions
use techniques to increase patients' motivation
work in a multicultural environment in health care
work on psychosomatic issues
work with healthcare users under medication
work with patterns of psychological behaviour",Professionals,"Legal, social and cultural professionals",Social and religious professionals,Psychologists,psychologist
games development manager,"align efforts towards business development
ensure compliance with policies
ensure gambling operational standards
follow ethical code of conduct of gambling
lead a team
manage gambling finances
manage gambling game
manage gambling hospitality
manage gaming cash desk
manage gaming facilities
monitor customer service
train employees",Managers,Administrative and commercial managers,"Sales, marketing and development managers",Research and development managers,research and development manager
educational psychologist,"apply crisis intervention
communicate with youth
consult student's support system
counsel students
diagnose education problems
diagnose psychiatric symptoms
interpret psychological tests
liaise with educational staff
liaise with educational support staff
listen actively
monitor student's behaviour
monitor therapeutic progress
perform educational testing
test for behavioural patterns
test for emotional patterns
use psychoeducation",Professionals,"Legal, social and cultural professionals",Social and religious professionals,Psychologists,psychologist
aircraft interior technician,"align components
apply health and safety standards
apply preliminary treatment to workpieces
fasten components
measure parts of manufactured products
read engineering drawings
read standard blueprints
test electronic units
troubleshoot
use power tools
use technical documentation
wear appropriate protective gear",Craft and related trades workers,"Food processing, wood working, garment and other craft and related trades workers",Garment and related trades workers,Upholsterers and related workers,aircraft interior technician
forester,"conserve forests
de-limb trees
manage forests
monitor forest health
monitor forest productivity
organise labour
organise tree plantations
promote environmental awareness
supervise forestry workers
write technical reports related to trees",Managers,Production and specialised services managers,"Production managers in agriculture, forestry and fisheries",Agricultural and forestry production managers,forester
container crane operator,"assist in the movement of heavy loads
check quality of products on the production line
conduct routine machinery checks
inspect crane equipment
load cargo onto ships
maintain crane equipment
operate cranes
operate railway lever frames
organise weight of loads according to lifting equipment capacity
perform high risk work
set up crane
stay alert
use rigging tools",Plant and machine operators and assemblers,Drivers and mobile plant operators,Mobile plant operators,"Crane, hoist and related plant operators",container crane operator
power lines supervisor,"advise on safety improvements
assess areas for power line installation
check compatibility of materials
enforce safety procedures when working at heights
ensure compliance with construction project deadline
ensure equipment availability
ensure safety in electrical power operations
evaluate employees work
follow health and safety procedures in construction
inspect construction supplies
inspect overhead power lines
inspect underground power cables
keep records of work progress
plan shifts of employees
prevent damage to utility infrastructure
react to events in time-critical environments
supervise staff
test procedures in electricity transmission
use safety equipment in construction",Technicians and associate professionals,Science and engineering associate professionals,"Mining, manufacturing and construction supervisors",Construction supervisors,construction general supervisor
telecommunications equipment maintainer,"assess telecommunication infrastructure issues
calibrate electronic instruments
install low voltage wiring
maintain radio communications equipment
operate remote broadcast equipment
operate two-way radio systems
repair wiring
solder electronics",Craft and related trades workers,Electrical and electronic trades workers,Electronics and telecommunications installers and repairers,Information and communications technology installers and servicers,telecommunications equipment maintainer
dental practitioner,"accept own accountability
advise on healthcare users' informed consent
apply context specific clinical competences
apply organisational techniques
carry out local anesthesia in dental procedures
communicate in healthcare
comply with legislation related to health care
comply with quality standards related to healthcare practice
contribute to continuity of health care
correct temporomandibular joint abnormalities
counsel on nutrition and its impact on oral health
deal with emergency care situations
deal with patients' anxiety
develop a collaborative therapeutic relationship
diagnose abnormalities of dental-facial structures
differentiate between maxillofacial tissues
discuss dental treatment options with patient
educate on the prevention of illness
empathise with the healthcare user
ensure safety of healthcare users
fit dental appliances
follow clinical guidelines
interact with healthcare users
interpret findings from medical examinations
keep records for dental prostheses
lead the dental team
listen actively
manage adverse reactions to anaesthesia
manage dental emergencies
manage edentulous patients
manage healthcare users' data
manage infection control in the facility
manage occlusion
minimise occupational hazards in dentistry practice
perform dental clinical examination
perform multiple tasks at the same time
perform oral health diagnosis
perform reconstructive oral surgery
promote health and safety policies in health services
promote inclusion
provide health education
provide instruction in orthodontic procedures
provide periodontal treatment
provide treatment strategies for challenges to human health
refer healthcare users
rehabilitate worn dentition
respond to changing situations in health care
restore teeths' natural colour
select materials for orthodontic appliances
supervise dental staff
treat cases of malocclusion
treat exposure of dental pulp
treat snoring problems
treat tooth decay
undertake clinical audit
use e-health and mobile health technologies
use orthodontic tools
work in a multicultural environment in health care
work in multidisciplinary health teams
write prescriptions for medication in dentistry",Professionals,Health professionals,Other health professionals,Dentists,dental practitioner
customs officer,"advise on customs regulations
advise on licencing procedures
check official documents
keep up-to-date to current customs regulations
manage import export licenses
prevent smuggling",Technicians and associate professionals,Business and administration associate professionals,Regulatory government associate professionals,Customs and border inspectors,customs officer
clinical coder,"adhere to organisational guidelines
communicate in healthcare
follow clinical guidelines
maintain healthcare user data confidentiality
manage healthcare users' data
perform clinical coding procedures
review patient's medical data
use electronic health records management system",Technicians and associate professionals,Health associate professionals,Other health associate professionals,Medical records and health information technicians,medical records clerk
social work researcher,"accept own accountability
address problems critically
adhere to organisational guidelines
advocate for social service users
apply anti-oppressive practices
apply case management
apply crisis intervention
apply decision making within social work
apply for research funding
apply holistic approach within social services
apply organisational techniques
apply person-centred care
apply problem solving in social service
apply quality standards in social services
apply research ethics and scientific integrity principles in research activities
apply scientific methods
apply socially just working principles
assess social service users' situation
build helping relationship with social service users
carry out social work research
communicate professionally with colleagues in other fields
communicate with a non-scientific audience
communicate with social service users
conduct interview in social service
conduct research across disciplines
consider social impact of actions on service users
contribute to protecting individuals from harm
cooperate at inter-professional level
deliver social services in diverse cultural communities
demonstrate disciplinary expertise
demonstrate leadership in social service cases
develop professional identity in social work
develop professional network
develop professional network with researchers and scientists
disseminate results to the scientific community
draft scientific or academic papers and technical documentation
empower social service users
evaluate research activities
follow health and safety precautions in social care practices
have computer literacy
implement scientific decision making in healthcare
increase the impact of science on policy and society
integrate gender dimension in research
interact professionally in research and professional environments
involve service users and carers in care planning
listen actively
maintain records of work with service users
make legislation transparent for users of social services
manage ethical issues within social services
manage findable accessible interoperable and reusable data
manage intellectual property rights
manage open publications
manage personal professional development
manage research data
manage social crisis
manage stress in the work place
meet standards of practice in social services
mentor individuals
negotiate with social service stakeholders
negotiate with social service users
operate open source software
organise social work packages
perform project management
perform scientific research
plan social service process
prevent social problems
promote inclusion
promote open innovation in research
promote service users' rights
promote social change
promote the participation of citizens in scientific and research activities
promote the transfer of knowledge
protect vulnerable social service users
provide social counselling
provide support to social services users
publish academic research
refer social service users
relate empathetically
report on social development
review social service plan
speak different languages
synthesise information
think abstractly
tolerate stress
undertake continuous professional development in social work
work in a multicultural environment in health care
work within communities
write scientific publications",Professionals,"Legal, social and cultural professionals",Social and religious professionals,"Sociologists, anthropologists and related professionals",sociologist
digital games designer,"analyse business requirements
compose digital game story
create concept of digital game
create digital game characters
create software design
define technical requirements
design graphics
design process
formulate game rules
manage online content
specify digital game scenes
use markup languages",Professionals,Science and engineering professionals,"Architects, planners, surveyors and designers",Graphic and multimedia designers,digital games designer
deputy head teacher,"assist in the organisation of school events
communicate with youth
cooperate with education professionals
guarantee students' safety
maintain students' discipline
monitor educational developments
present reports
provide education management support
provide feedback to teachers
supervise educational staff
write work-related reports",Managers,Production and specialised services managers,Professional services managers,Education managers,headteacher
hawker,"adapt to different weather conditions
apply health and safety standards
assist customers
carry out active selling
demonstrate products' features
ensure client orientation
ensure product preparation
guarantee customer satisfaction
maintain work area cleanliness
negotiate price
organise product display
perform manual work autonomously
process payments
unload supplies
upsell products
use different communication channels",Elementary occupations,Street and related sales and service workers,Street vendors (excluding food),Street vendors (excluding food),hawker
economic adviser,"advise on economic development
analyse economic trends
analyse market financial trends
apply statistical analysis techniques
assess risk factors
carry out statistical forecasts
comprehend financial business terminology
develop financial statistics reports
develop organisational policies
maintain financial records
monitor company policy
supervise advocacy work",Professionals,"Legal, social and cultural professionals",Social and religious professionals,Economists,economist
